Symptoms,Crop,Temperature (°C),Humidity (%),Rainfall (mm),Disease
"black mold on leaves, stems, and pods",Rice,15.7,80.5,152.7,Root Rot
white powdery coating on leaves,Soybean,31.2,63.2,171,Brown Spot
"leaves with yellow patches, sticky substance on leaves",Wheat,33,65.1,62.7,Damping Off
"leaves curling, silvery-white appearance",Rice,30.6,67.3,156.2,Damping Off
white powdery coating on leaves,Wheat,28.3,59,187.2,Root Rot
"leaves curling, silvery-white appearance",Wheat,22.2,67.6,157.4,Bacterial Blight
white powdery coating on leaves,Wheat,23.6,64.5,231.8,Damping Off
"yellowing of leaves, roots turning mushy",Onion,20.6,76.9,178.7,Thrips Damage
"stems turning brown, leaf yellowing",Soybean,19,69,80.7,Damping Off
"leaves with yellow patches, sticky substance on leaves",Rice,32.9,55.1,286.1,Aphid Infestation
"yellow spots on leaves, leaf curling, stunted growth",Soybean,18.7,65.7,242.3,Aphid Infestation
"yellow spots on leaves, leaf curling, stunted growth",Chickpea,24.9,77.2,181.2,Black Mold
"leaves curling, silvery-white appearance",Cotton,25.3,74.2,215.3,Root Rot
white powdery coating on leaves,Wheat,32.7,82.8,42.4,Aphid Infestation
"yellow spots on leaves, leaf curling, stunted growth",Rice,18.7,83.3,298.3,Fungal Wilt
"browning of leaf edges, stem rotting",Cotton,25.4,88.2,6,Aphid Infestation
"browning of leaf edges, stem rotting",Soybean,32.7,66.5,112.9,Bacterial Blight
"leaves with yellow patches, sticky substance on leaves",Tomato,21.6,59.4,97.2,Fungal Wilt
"leaves curling, silvery-white appearance",Rice,24.7,50.6,167.8,Brown Spot
"browning of leaf edges, stem rotting",Wheat,25.7,85.6,27.4,Bacterial Blight
white powdery coating on leaves,Onion,16.9,74.8,164.4,Brown Spot
"leaves curling, silvery-white appearance",Cotton,17.9,61.7,290.1,Powdery Mildew
"browning of leaf edges, stem rotting",Soybean,33.7,57.1,52.5,Fungal Wilt
"brown lesions on leaves, dried foliage",Wheat,29,80.2,116.2,Leaf Spot
"leaves with yellow patches, sticky substance on leaves",Corn,28,76.4,11,Black Mold
"stems turning brown, leaf yellowing",Corn,23.1,76.4,87.5,Brown Spot
white powdery coating on leaves,Rice,15.6,81.2,159.9,Bacterial Blight
"dark spots, leaves wilting",Chickpea,19.3,79.4,173.7,Fungal Wilt
"dark spots, leaves wilting",Rice,34.3,59.6,150.4,Aphid Infestation
"black mold on leaves, stems, and pods",Soybean,30.6,57,290.3,Thrips Damage
"dark spots, leaves wilting",Corn,29.2,62.2,74.4,Thrips Damage
"leaves curling, silvery-white appearance",Onion,20.9,50,7.4,Powdery Mildew
"dark spots, leaves wilting",Corn,23.6,50.9,181.5,Damping Off
"dark spots, leaves wilting",Onion,34.2,79.2,244.6,Fungal Wilt
"black mold on leaves, stems, and pods",Wheat,34.1,61.8,231.3,Damping Off
"yellow spots on leaves, leaf curling, stunted growth",Rice,17.8,89.3,29.2,Black Mold
white powdery coating on leaves,Cotton,28.3,70.3,153.5,Bacterial Blight
"dark spots, leaves wilting",Potato,33.7,89.3,38.9,Bacterial Blight
"leaves with yellow patches, sticky substance on leaves",Soybean,23.2,65.6,131.3,Thrips Damage
"dark spots, leaves wilting",Wheat,34.4,60.4,187,Root Rot
"black mold on leaves, stems, and pods",Soybean,32.8,72.3,98.8,Root Rot
"black mold on leaves, stems, and pods",Chickpea,31.2,78.1,99.5,Aphid Infestation
"dark spots, leaves wilting",Soybean,33.1,76.8,50.1,Aphid Infestation
"dark spots, leaves wilting",Lettuce,27.5,69.8,181.3,Brown Spot
"browning of leaf edges, stem rotting",Lettuce,30.6,56.1,295.9,Thrips Damage
"dark spots, leaves wilting",Onion,24.7,74.9,82,Powdery Mildew
"yellowing of leaves, roots turning mushy",Rice,21.9,69.6,168.9,Powdery Mildew
"browning of leaf edges, stem rotting",Corn,27.5,67.6,180.7,Powdery Mildew
"yellowing of leaves, roots turning mushy",Onion,29.3,63.9,107.9,Leaf Spot
white powdery coating on leaves,Lettuce,30.1,84.6,34.6,Root Rot
"stems turning brown, leaf yellowing",Potato,17.3,69.8,224.1,Black Mold
"dark spots, leaves wilting",Cotton,29.2,75.5,50.2,Damping Off
"dark spots, leaves wilting",Onion,15.7,77.6,83.4,Black Mold
"yellowing of leaves, roots turning mushy",Wheat,19.5,64,191.1,Fungal Wilt
"yellowing of leaves, roots turning mushy",Wheat,17.9,60.7,282.4,Root Rot
white powdery coating on leaves,Tomato,19.4,68,266.1,Fungal Wilt
"black mold on leaves, stems, and pods",Potato,17.5,79.5,96.1,Root Rot
"black mold on leaves, stems, and pods",Cotton,28.6,53.4,281.8,Brown Spot
"leaves curling, silvery-white appearance",Onion,22.4,55.6,39.3,Brown Spot
"leaves curling, silvery-white appearance",Cotton,22.3,85.2,182.7,Aphid Infestation
white powdery coating on leaves,Soybean,30.6,52.6,245.6,Brown Spot
"leaves with yellow patches, sticky substance on leaves",Corn,31.3,67.3,207.6,Black Mold
"black mold on leaves, stems, and pods",Soybean,31.3,64.8,110.3,Fungal Wilt
"brown lesions on leaves, dried foliage",Corn,23.5,83.3,170.9,Bacterial Blight
"brown lesions on leaves, dried foliage",Wheat,18.8,60.1,151.5,Powdery Mildew
"yellow spots on leaves, leaf curling, stunted growth",Onion,26.5,80.7,56.6,Leaf Spot
"yellowing of leaves, roots turning mushy",Onion,30.7,88.7,68.6,Thrips Damage
"black mold on leaves, stems, and pods",Cotton,33.3,79.4,259.3,Powdery Mildew
"leaves with yellow patches, sticky substance on leaves",Tomato,18.8,74,141.1,Powdery Mildew
"dark spots, leaves wilting",Tomato,23.3,60.5,202.5,Brown Spot
"dark spots, leaves wilting",Lettuce,24.4,66.8,109.3,Brown Spot
"black mold on leaves, stems, and pods",Rice,32.1,55.9,290.8,Black Mold
"dark spots, leaves wilting",Corn,21.9,71.4,234.8,Damping Off
white powdery coating on leaves,Onion,23.2,50.2,69.7,Aphid Infestation
"yellow spots on leaves, leaf curling, stunted growth",Chickpea,32,59.1,206.7,Thrips Damage
"stems turning brown, leaf yellowing",Wheat,19.6,52.1,226.9,Damping Off
"dark spots, leaves wilting",Tomato,29,77.6,143.2,Leaf Spot
"leaves with yellow patches, sticky substance on leaves",Cotton,31.2,65.4,33.3,Powdery Mildew
"yellowing of leaves, roots turning mushy",Onion,20.8,89.2,58.1,Root Rot
"leaves curling, silvery-white appearance",Tomato,26.9,89.5,74.5,Brown Spot
"stems turning brown, leaf yellowing",Soybean,16.8,75.1,274.4,Thrips Damage
"leaves with yellow patches, sticky substance on leaves",Onion,23.8,55.8,192.5,Root Rot
"yellowing of leaves, roots turning mushy",Corn,34.8,81.6,91.7,Fungal Wilt
"leaves curling, silvery-white appearance",Rice,29.2,73.5,149.8,Bacterial Blight
"yellowing of leaves, roots turning mushy",Wheat,32.3,60.5,296.3,Thrips Damage
white powdery coating on leaves,Rice,20.1,50.1,191.4,Brown Spot
"dark spots, leaves wilting",Soybean,29.6,65.5,212.5,Aphid Infestation
"yellow spots on leaves, leaf curling, stunted growth",Potato,15.8,78.5,289.2,Leaf Spot
"yellow spots on leaves, leaf curling, stunted growth",Corn,19.3,72.4,156.7,Bacterial Blight
"leaves curling, silvery-white appearance",Lettuce,24.5,83.7,46.9,Leaf Spot
"stems turning brown, leaf yellowing",Cotton,18.3,78.8,216.5,Powdery Mildew
"browning of leaf edges, stem rotting",Tomato,23.9,80.5,14.6,Thrips Damage
"yellowing of leaves, roots turning mushy",Corn,17.1,55.3,175.8,Brown Spot
"browning of leaf edges, stem rotting",Rice,30.1,88.5,23.7,Leaf Spot
"yellowing of leaves, roots turning mushy",Cotton,31.4,71.7,265.4,Thrips Damage
"yellowing of leaves, roots turning mushy",Corn,26.9,60.3,74.3,Black Mold
"brown lesions on leaves, dried foliage",Chickpea,33.4,86.1,44.9,Damping Off
"stems turning brown, leaf yellowing",Onion,30.4,61.4,147.8,Thrips Damage
white powdery coating on leaves,Lettuce,32.4,72,102.6,Thrips Damage
"dark spots, leaves wilting",Corn,18,69.8,130.3,Powdery Mildew
"stems turning brown, leaf yellowing",Lettuce,16,76.2,29.6,Black Mold
"stems turning brown, leaf yellowing",Lettuce,30.2,62.9,10.6,Fungal Wilt
white powdery coating on leaves,Cotton,26.1,69.6,267.6,Damping Off
"brown lesions on leaves, dried foliage",Onion,32.9,86.3,298.3,Brown Spot
"stems turning brown, leaf yellowing",Tomato,16.5,79.9,159.4,Root Rot
"brown lesions on leaves, dried foliage",Lettuce,25.5,50.5,195.7,Leaf Spot
"brown lesions on leaves, dried foliage",Rice,21.7,65.2,283.2,Fungal Wilt
"black mold on leaves, stems, and pods",Soybean,22.7,88.3,231.3,Brown Spot
"yellowing of leaves, roots turning mushy",Cotton,29.2,73.2,268.8,Bacterial Blight
"brown lesions on leaves, dried foliage",Onion,33.9,76.5,29.2,Leaf Spot
"leaves curling, silvery-white appearance",Chickpea,25.1,77.6,41.6,Brown Spot
"dark spots, leaves wilting",Rice,22.4,89.4,45.4,Brown Spot
"leaves with yellow patches, sticky substance on leaves",Lettuce,17.4,52.6,134.7,Thrips Damage
white powdery coating on leaves,Wheat,31.7,86.8,32.8,Brown Spot
"browning of leaf edges, stem rotting",Lettuce,27.9,79.2,202.8,Aphid Infestation
"leaves with yellow patches, sticky substance on leaves",Wheat,16,63.5,239.9,Bacterial Blight
"stems turning brown, leaf yellowing",Tomato,24.6,72.3,223.4,Brown Spot
"leaves with yellow patches, sticky substance on leaves",Potato,28.4,79.2,205.1,Root Rot
"browning of leaf edges, stem rotting",Corn,22.2,63,68,Leaf Spot
"black mold on leaves, stems, and pods",Soybean,30,78.7,207,Thrips Damage
white powdery coating on leaves,Cotton,22,51.9,90.5,Thrips Damage
"yellowing of leaves, roots turning mushy",Potato,32.7,79.8,39.4,Leaf Spot
"yellow spots on leaves, leaf curling, stunted growth",Rice,23.2,86.3,189.8,Brown Spot
"brown lesions on leaves, dried foliage",Potato,33.6,69.2,75.9,Black Mold
"brown lesions on leaves, dried foliage",Rice,21.3,52.1,123.8,Fungal Wilt
"brown lesions on leaves, dried foliage",Potato,23.3,78.6,111.4,Damping Off
